contract_name,hash,year_month,Match_Date,Matched_Attack_Type,Matched_Loss_Amount,predicted_label
Jimbo_exp,0x44a0f5650a038ab522087c02f734b80e6c748afb207995e757ed67ca037a5eda,23-May,20230530,Protocol Specific Price Manipulation,,1
IndexedFinance_exp,0x44aad3b853866468161735496a5d9cc961ce5aa872924c5d78673076b1cd95aa,21-Oct,20211015,Price Manipulation,,1
Sonne_exp,0x45c0ccfd3ca1b4a937feebcb0f5a166c409c9e403070808835d41da40732db96,24-May,20240514,Precision Loss,,1
Bancor_exp,0x4643b63dcbfc385b8ab8c86cbc46da18c2e43d277de3e5bc3b4516d3c0fdeb9f,20-Jun,20240128,Reentrancy,,1
OnyxDAO_exp,0x46567c731c4f4f7e27c4ce591f0aebdeb2d9ae1038237a0134de7b13e63d8729,24-Sep,20240926,Fake Market,,1
EAC_exp,0x477f9ee698ac8ae800ffa012ab52fd8de39b58996245c5e39a4233c1ae5f1baa,23-Aug,20230829,Price Manipulation,,1
Spectra_finance_exp,0x491cf8b2a5753fdbf3096b42e0a16bc109b957dc112d6537b1ed306e483d0744,24-Jul,20240724,Incorrect Input Validation,,1
LocalTrader_exp,0x49a3038622bf6dc3672b1b7366382a2c513d713e06cb7c91ebb8e256ee300dfb,23-May,20230525,Improper Access Control of Close Source Contract,,1
OmniEstate_exp,0x49bed801b9a9432728b1939951acaa8f2e874453d39c7d881a62c2c157aa7613,23-Jan,20230117,No Input Parameter Check,,1
YIEDL_exp,0x49ca5e188c538b4f2efb45552f13309cc0dd1f3592eee54decfc9da54620c2ec,24-Apr,20230710,Reentrancy,,1
MidasCapitalXYZ_exp,0x4a304ff08851106691f626045b0f55d403e3a0958363bdf82b96e8ce7209c3a6,23-Jun,20230617,Precision Loss,,1
EGD_Finance_exp,0x4a66d01a017158ff38d6a88db98ba78435c606be57ca6df36033db4d9514f9f8,22-Aug,20220807,Flashloans & Price Manipulation,,1
pSeudoEth_exp,0x4ab68b21799828a57ea99c1288036889b39bf85785240576e697ebff524b3930,23-Oct,20231008,Pool Manipulation,,1
Upswing_exp,0x4b3df6e9c68ae482c71a02832f7f599ff58ff877ec05fed0abd95b31d2d7d912,23-Jan,20230123,Oracle Price Manipulation,,1
Platypus02_exp,0x4b544e5ffb0420977dacb589a6fb83e25347e0685275a3327ee202449b3bfac6,23-Jul,20231012,Business Logic Flaw,,1
PAID_exp,0x4bb10927ea7afc2336033574b74ebd6f73ef35ac0db1bb96229627c9d77555a0,21-Mar,20210305,Private Key Compromised,,1
MetaLend_exp,0x4c684fb2618c29743531dec9253ede1b757bda0b323dc2f305e3b50ab1773da7,23-Nov,20231125,CompoundV2 Inflation Attack,,1
BRA_exp,0x4e5b2efa90c62f2b62925ebd7c10c953dc73c710ef06695eac3f36fe0f6b9348,23-Jan,20231102,Lack of Access Control,,1
Mosca_exp,0x4e5bb7e3f552f5ee6ee97db9a9fcf07287aae9a1974e24999690855741121aff,25-Jan,20250106,Logic Flaw,19K,1
MO_exp,0x4ec3061724ca9f0b8d400866dd83b92647ad8c943a1c0ae9ae6c9bd1ef789417,24-Mar,20240324,Business Logic Flaw,,1
LinkDao_exp,0x4ed59e3013215c272536775a966f4365112997a6eec534d38325be014f2e15ee,23-Nov,20231115,Bad K Value Verification,,1
StarsArena_exp,0x4f37ffecdad598f53b8d5a2d9df98e3c00fbda4328585eb9947a412b5fe17ac5,23-Oct,20231007,Reentrancy,,1
MaestroRouter2_exp,0x4f4d6909a442b4d86f79a9044dcada6a128ddd9f62c26f410134a72d2fc31389,23-Oct,20231025,Arbitrary External Call,,1
GSS_exp,0x4f8cb9efb3cc9930bd38af5f5d34d15ce683111599a80df7ae50b003e746e336,23-Aug,20230824,Skim Token Balance,,1
